_id," symbol"," data.open"," data.close"," data.high"," data.low"," data.volume"
ObjectId(5a99106ecd6f6435541979c1),,,,,,
ObjectId(5a991093cd6f6435541979ea),,,,,,
ObjectId(5a991097cd6f6435541979eb),,,,,,
ObjectId(5a9910accd6f643554197a01),,,,,,
ObjectId(5a9910b2cd6f643554197a0c),,,,,,
ObjectId(5a9910b7cd6f643554197a0d),,,,,,
ObjectId(5a9910c0cd6f643554197a18),,,,,,
ObjectId(5a9910c4cd6f643554197a23),,,,,,
ObjectId(5a9910cbcd6f643554197a24),,,,,,
ObjectId(5a9910d1cd6f643554197a2f),,,,,,
