"date","close","volume","open","high","low"
"11:59","1,498.25","2,759,782","1,485.10","1,505","1,478.50"
"2018/04/25","1460.1700","6365989.0000","1458.0000","1469.9900","1415.0200"
"2018/04/24","1460.0900","7470059.0000","1535.8000","1539.5000","1448.4475"
"2018/04/23","1517.8600","4447801.0000","1546.6947","1548.0000","1503.4103"
"2018/04/20","1527.4900","5520642.0000","1561.1999","1561.1999","1516.0930"
"2018/04/19","1556.9100","6483967.0000","1543.2200","1568.5200","1539.0600"
"2018/04/18","1527.8400","5091677.0000","1514.6500","1533.8000","1504.1100"
"2018/04/17","1503.8300","5008532.0000","1462.2950","1507.1900","1457.0219"
"2018/04/16","1441.5000","2773836.0000","1445.0000","1447.0000","1427.4800"
"2018/04/13","1430.7900","3637586.0000","1449.1360","1459.7808","1424.5200"
"2018/04/12","1448.5000","3116939.0000","1439.5000","1452.1200","1435.0600"
"2018/04/11","1427.0500","3544449.0000","1439.4400","1448.7758","1424.8900"
"2018/04/10","1436.2200","4258358.0000","1431.9900","1438.3800","1415.7000"
"2018/04/09","1406.0800","4193564.0000","1425.0300","1438.4800","1402.5710"
"2018/04/06","1405.2300","5838758.0000","1429.9700","1452.5020","1400.2600"
"2018/04/05","1451.7500","6305513.0000","1441.9900","1459.5575","1427.0700"
"2018/04/04","1410.5700","6942485.0000","1358.2400","1415.3900","1352.8800"
"2018/04/03","1392.0500","10212940.0000","1391.3800","1414.0000","1355.3300"
"2018/04/02","1371.9900","10432560.0000","1417.6200","1421.3580","1355.0000"
"2018/03/29","1447.3400","12570020.0000","1406.0000","1455.4700","1365.2000"
"2018/03/28","1431.4200","13680370.0000","1447.0000","1455.9000","1386.1700"
"2018/03/27","1497.0500","6887274.0000","1572.4000","1575.9650","1482.3200"
"2018/03/26","1555.8600","5592200.0000","1530.0000","1556.9900","1499.2500"
"2018/03/23","1495.5600","7977655.0000","1539.0100","1549.0200","1495.3600"
"2018/03/22","1544.9200","6213379.0000","1565.4700","1573.8500","1542.4000"
"2018/03/21","1581.8600","4740884.0000","1586.4500","1590.0000","1563.1700"
"2018/03/20","1586.5100","4554675.0000","1550.3400","1587.0000","1545.4100"
"2018/03/19","1544.9300","6406413.0000","1554.5300","1561.6600","1525.3500"
"2018/03/16","1571.6800","5291848.0000","1583.4500","1589.4400","1567.5000"
"2018/03/15","1582.3200","4057694.0000","1595.0000","1596.9100","1578.1100"
"2018/03/14","1591.0000","4236655.0000","1597.0000","1606.4440","1590.8900"
